 Satellite:           Jason-1
 Date of parsing:     10-May-2015, 19:55:37
 
            jday	           glat	           glon	           hsat	           ralt	    stdalt	       swh	     otide	     etide	      invb	     wtrop	     dtrop	     ionos	      mssh	      geoh	    iflags	    oflags	     ptide	       emb	
               d	            deg	            deg	              m	              m	         m	         m	         m	         m	         m	         m	         m	         m	         m	         m	         -	         -	         m	         m	
==========================================================================================================================================================================================================================================================
      1825.67722	     -66.144607	     320.428870	    1356514.303	    1299999.999	    -0.001	   327.670	    -0.132	    -0.046	     0.234	    -0.057	    -2.243	    32.767	     9.953	    11.411	       200	         0	     0.003	    32.767	
      1825.67724	     -66.144455	     320.558435	    1356514.057	    1299999.999	    -0.001	   327.670	    -0.132	    -0.046	     0.234	    -0.059	    -2.243	    32.767	     9.925	    11.385	       200	         0	     0.003	    32.767	
      1825.67725	     -66.144187	     320.687997	    1356513.783	    1299999.999	    -0.001	   327.670	    -0.131	    -0.046	     0.235	    -0.060	    -2.243	    32.767	     9.912	    11.375	       200	         0	     0.003	    32.767	
      1825.67726	     -66.143803	     320.817555	    1356513.480	    1299999.999	    -0.001	   327.670	    -0.131	    -0.046	     0.236	    -0.060	    -2.242	    32.767	     9.912	    11.381	       200	         0	     0.003	    32.767	
      1825.67727	     -66.143304	     320.947109	    1356513.148	    1299999.999	    -0.001	   327.670	    -0.130	    -0.046	     0.236	    -0.060	    -2.242	    32.767	     9.931	    11.401	       200	         0	     0.003	    32.767	
      1825.67728	     -66.142690	     321.076657	    1356512.787	    1299999.999	    -0.001	   327.670	    -0.130	    -0.046	     0.237	    -0.057	    -2.242	    32.767	     9.971	    11.436	       200	         0	     0.003	    32.767	
      1825.67731	     -66.140913	     321.363980	    1356511.882	    1299999.999	    -0.001	   327.670	    -0.129	    -0.045	     0.239	    -0.058	    -2.242	    32.767	    10.062	    11.524	       200	         0	     0.003	    32.767	
      1825.67732	     -66.139927	     321.493501	    1356511.427	    1299999.999	    -0.001	   327.670	    -0.128	    -0.045	     0.239	    -0.062	    -2.242	    32.767	    10.077	    11.546	       200	         0	     0.003	    32.767	
      1825.67733	     -66.138824	     321.623010	    1356510.943	    1299999.999	    -0.001	   327.670	    -0.128	    -0.045	     0.240	    -0.061	    -2.241	    32.767	    10.072	    11.547	       200	         0	     0.003	    32.767	
      1825.67735	     -66.137606	     321.752508	    1356510.430	    1299999.999	    -0.001	   327.670	    -0.127	    -0.045	     0.240	    -0.063	    -2.241	    32.767	    10.054	    11.525	       200	         0	     0.003	    32.767	
      1825.67736	     -66.136273	     321.881992	    1356509.888	    1299999.999	    -0.001	   327.670	    -0.127	    -0.045	     0.241	    -0.063	    -2.241	    32.767	    10.010	    11.481	       200	         0	     0.003	    32.767	
      1825.67738	     -66.133815	     322.096040	    1356508.929	    1299999.999	    -0.001	   327.670	    -0.126	    -0.045	     0.242	    -0.065	    -2.241	    32.767	     9.924	    11.387	       200	         0	     0.003	    32.767	
      1825.67739	     -66.132175	     322.225483	    1356508.310	    1299999.999	    -0.001	   327.670	    -0.125	    -0.045	     0.242	    -0.066	    -2.241	    32.767	     9.864	    11.328	       200	         0	     0.003	    32.767	
      1825.67740	     -66.130419	     322.354908	    1356507.662	    1299999.999	    -0.001	   327.670	    -0.125	    -0.045	     0.243	    -0.066	    -2.241	    32.767	     9.809	    11.275	       200	         0	     0.003	    32.767	
      1825.67741	     -66.128548	     322.484313	    1356506.985	    1299999.999	    -0.001	   327.670	    -0.124	    -0.045	     0.244	    -0.068	    -2.241	    32.767	     9.765	    11.228	       200	         0	     0.003	    32.767	
      1825.67742	     -66.126562	     322.613699	    1356506.279	    1299999.999	    -0.001	   327.670	    -0.124	    -0.045	     0.244	    -0.069	    -2.240	    32.767	     9.723	    11.188	       200	         0	     0.003	    32.767	
      1825.67744	     -66.124460	     322.743063	    1356505.543	    1299999.999	    -0.001	   327.670	    -0.123	    -0.045	     0.245	    -0.069	    -2.240	    32.767	     9.685	    11.150	       200	         0	     0.003	    32.767	
      1825.67745	     -66.122243	     322.872404	    1356504.779	    1299999.999	    -0.001	   327.670	    -0.123	    -0.045	     0.245	    -0.071	    -2.240	    32.767	     9.657	    11.125	       200	         0	     0.003	    32.767	
      1825.67746	     -66.119911	     323.001721	    1356503.986	    1299999.999	    -0.001	   327.670	    -0.123	    -0.045	     0.246	    -0.069	    -2.240	    32.767	     9.650	    11.123	       200	         0	     0.003	    32.767	
      1825.67747	     -66.117463	     323.131013	    1356503.164	    1299999.999	    -0.001	   327.670	    -0.122	    -0.045	     0.246	    -0.069	    -2.240	    32.767	     9.660	    11.141	       200	         0	     0.003	    32.767	
      1825.67748	     -66.114900	     323.260279	    1356502.313	    1299999.999	    -0.001	   327.670	    -0.122	    -0.045	     0.247	    -0.068	    -2.240	    32.767	     9.675	    11.157	       200	         0	     0.003	    32.767	
      1825.67749	     -66.112222	     323.389518	    1356501.433	    1299999.999	    -0.001	   327.670	    -0.121	    -0.045	     0.247	    -0.066	    -2.240	    32.767	     9.682	    11.158	       200	         0	     0.003	    32.767	
      1825.67751	     -66.109428	     323.518727	    1356500.523	    1299999.999	    -0.001	   327.670	    -0.121	    -0.045	     0.248	    -0.065	    -2.240	    32.767	     9.670	    11.146	       200	         0	     0.003	    32.767	
      1825.67752	     -66.106520	     323.647907	    1356499.585	    1299999.999	    -0.001	   327.670	    -0.120	    -0.045	     0.248	    -0.064	    -2.240	    32.767	     9.644	    11.115	       200	         0	     0.003	    32.767	
