 Satellite:           Jason-1
 Date of filtering:   10-May-2015, 19:56:13
 Original file: 	  Jason-1\Jason-1_ASCII\110\110_002tu_jason1.00_ASCII.txt 
 Filters configuration: 	         0 and          0 
 
            jday	           glat	           glon	           hsat	           ralt	    stdalt	       swh	     otide	     etide	      invb	     wtrop	     dtrop	     ionos	      mssh	      geoh	    iflags	    oflags	     ptide	       emb	
               d	            deg	            deg	              m	              m	         m	         m	         m	         m	         m	         m	         m	         m	         m	         m	         -	         -	         m	         m	
==========================================================================================================================================================================================================================================================
      1825.57571	      16.511685	     259.645983	    1340813.107	    1340830.154	     0.046	     1.210	    -0.060	    -0.118	    -0.012	    -0.182	    -2.307	    -0.010	   -14.439	   -15.277	         0	         0	     0.003	    -0.047	
      1825.57572	      16.462154	     259.665726	    1340805.764	    1340823.073	     0.062	     1.000	    -0.060	    -0.118	    -0.011	    -0.180	    -2.307	    -0.018	   -14.722	   -15.548	         0	         0	     0.003	    -0.040	
      1825.57573	      16.412621	     259.685458	    1340798.443	    1340815.873	     0.072	     0.820	    -0.060	    -0.118	    -0.010	    -0.177	    -2.307	    -0.024	   -14.871	   -15.667	         0	         0	     0.003	    -0.034	
      1825.57574	      16.363084	     259.705177	    1340791.145	    1340808.533	     0.081	     1.010	    -0.060	    -0.118	    -0.009	    -0.173	    -2.307	    -0.011	   -14.869	   -15.663	         0	         0	     0.003	    -0.041	
      1825.57575	      16.313545	     259.724884	    1340783.871	    1340801.154	     0.059	     1.090	    -0.059	    -0.118	    -0.010	    -0.171	    -2.307	    -0.021	   -14.730	   -15.518	         0	         0	     0.003	    -0.043	
      1825.57576	      16.264002	     259.744579	    1340776.619	    1340793.649	     0.046	     0.790	    -0.059	    -0.118	    -0.013	    -0.169	    -2.308	    -0.019	   -14.508	   -15.290	         0	         0	     0.003	    -0.032	
      1825.57578	      16.214457	     259.764262	    1340769.391	    1340786.154	     0.057	     1.110	    -0.058	    -0.118	    -0.016	    -0.165	    -2.308	    -0.039	   -14.230	   -15.008	         0	         0	     0.003	    -0.043	
      1825.57579	      16.164908	     259.783933	    1340762.185	    1340778.623	     0.075	     1.130	    -0.057	    -0.119	    -0.018	    -0.163	    -2.309	    -0.008	   -13.918	   -14.696	         0	         0	     0.003	    -0.044	
      1825.57580	      16.115357	     259.803593	    1340755.003	    1340771.111	     0.061	     1.260	    -0.057	    -0.119	    -0.021	    -0.160	    -2.309	    -0.021	   -13.593	   -14.365	         0	         0	     0.003	    -0.049	
      1825.57581	      16.065803	     259.823240	    1340747.844	    1340763.598	     0.081	     1.200	    -0.057	    -0.119	    -0.023	    -0.159	    -2.310	    -0.030	   -13.291	   -14.050	         0	         0	     0.003	    -0.046	
      1825.57582	      16.016246	     259.842876	    1340740.708	    1340756.260	     0.061	     1.060	    -0.056	    -0.119	    -0.025	    -0.157	    -2.310	    -0.017	   -12.998	   -13.755	         0	         0	     0.003	    -0.041	
      1825.57584	      15.966686	     259.862500	    1340733.595	    1340748.789	     0.060	     1.060	    -0.055	    -0.119	    -0.026	    -0.156	    -2.311	    -0.019	   -12.701	   -13.452	         0	         0	     0.003	    -0.041	
      1825.57585	      15.917123	     259.882112	    1340726.506	    1340741.481	     0.070	     1.180	    -0.055	    -0.119	    -0.027	    -0.155	    -2.311	     0.001	   -12.412	   -13.154	         0	         0	     0.003	    -0.046	
      1825.57586	      15.867557	     259.901713	    1340719.440	    1340734.080	     0.040	     1.080	    -0.054	    -0.119	    -0.027	    -0.154	    -2.311	    -0.022	   -12.146	   -12.876	         0	         0	     0.003	    -0.042	
      1825.57587	      15.817989	     259.921301	    1340712.397	    1340726.847	     0.092	     1.450	    -0.053	    -0.119	    -0.026	    -0.154	    -2.311	    -0.006	   -11.869	   -12.607	         0	         0	     0.003	    -0.055	
      1825.57588	      15.768417	     259.940879	    1340705.377	    1340719.549	     0.062	     1.240	    -0.052	    -0.119	    -0.026	    -0.154	    -2.311	    -0.012	   -11.622	   -12.353	         0	         0	     0.003	    -0.048	
      1825.57589	      15.718843	     259.960445	    1340698.381	    1340712.310	     0.080	     1.270	    -0.052	    -0.119	    -0.026	    -0.154	    -2.311	    -0.033	   -11.400	   -12.144	         0	         0	     0.003	    -0.049	
      1825.57591	      15.669266	     259.979999	    1340691.408	    1340705.195	     0.087	     1.390	    -0.052	    -0.119	    -0.027	    -0.155	    -2.311	    -0.011	   -11.216	   -11.954	         0	         0	     0.003	    -0.054	
      1825.57592	      15.619686	     259.999542	    1340684.459	    1340698.067	     0.070	     1.230	    -0.051	    -0.119	    -0.027	    -0.156	    -2.311	    -0.014	   -11.029	   -11.761	         0	         0	     0.003	    -0.047	
      1825.57593	      15.570103	     260.019073	    1340677.533	    1340690.855	     0.039	     0.660	    -0.051	    -0.119	    -0.027	    -0.156	    -2.311	    -0.019	   -10.835	   -11.562	         0	         0	     0.003	    -0.027	
      1825.57594	      15.520518	     260.038593	    1340670.631	    1340683.750	     0.059	     0.830	    -0.051	    -0.119	    -0.026	    -0.156	    -2.311	    -0.032	   -10.640	   -11.362	         0	         0	     0.003	    -0.032	
      1825.57595	      15.470929	     260.058102	    1340663.752	    1340676.740	     0.063	     1.130	    -0.051	    -0.119	    -0.026	    -0.155	    -2.311	    -0.023	   -10.454	   -11.170	         0	         0	     0.003	    -0.044	
