 Satellite:           Jason-1
 Date of filtering:   15-May-2015, 16:03:54
 Original file:       Jason-1\Jason-1_ASCII\110\110_003tu_jason1.00_ASCII.txt 
 Allowed ins. flags:  00000000 
 Allowed orb. flags:  00000110 
 St. dev. max limit:  0.2 [m] 
   SWH. threshold:    7 [m] 
 abs(SSH - mssh) threshold:    2 [m] 

             jday	           glat	           glon	           hsat	           ralt	    stdalt	       swh	     otide	     etide	      invb	     wtrop	     dtrop	     ionos	      mssh	      geoh	    iflags	    oflags	     ptide	       emb	    SumOfCorr-s	            SSH	     SSH - mssh	     SSH - geoh
               d	            deg	            deg	              m	              m	         m	         m	         m	         m	         m	         m	         m	         m	         m	         m	         -	         -	         m	         m	              m	              m	              m	              m
===========================================================================================================================================================================================================================================================================================================================
      1825.59914	     -66.144389	     348.671535	    1356561.210	    1356556.461	     0.050	     1.520	     0.075	    -0.046	     0.305	    -0.040	    -2.227	    -0.029	     6.654	     8.101	         0	         0	     0.005	    -0.079	         -2.111	          6.860	          0.206	         -1.241
      1825.59915	     -66.144330	     348.801097	    1356561.074	    1356556.350	     0.080	     1.550	     0.075	    -0.046	     0.305	    -0.039	    -2.227	    -0.026	     6.644	     8.087	         0	         0	     0.005	    -0.081	         -2.109	          6.833	          0.189	         -1.254
      1825.59916	     -66.144156	     348.930658	    1356560.909	    1356556.184	     0.067	     1.480	     0.075	    -0.046	     0.305	    -0.040	    -2.227	    -0.038	     6.626	     8.065	         0	         0	     0.005	    -0.078	         -2.119	          6.844	          0.218	         -1.221
      1825.59917	     -66.143866	     349.060217	    1356560.714	    1356555.986	     0.073	     1.330	     0.075	    -0.046	     0.305	    -0.038	    -2.227	    -0.040	     6.609	     8.044	         0	         0	     0.005	    -0.070	         -2.111	          6.839	          0.230	         -1.205
      1825.59919	     -66.143460	     349.189771	    1356560.491	    1356555.785	     0.051	     1.270	     0.075	    -0.046	     0.305	    -0.039	    -2.227	    -0.045	     6.591	     8.031	         0	         0	     0.005	    -0.069	         -2.116	          6.822	          0.231	         -1.209
      1825.59920	     -66.142938	     349.319321	    1356560.239	    1356555.541	     0.073	     1.410	     0.075	    -0.046	     0.305	    -0.039	    -2.227	    -0.039	     6.584	     8.028	         0	         0	     0.005	    -0.075	         -2.116	          6.814	          0.230	         -1.214
      1825.59921	     -66.142302	     349.448865	    1356559.957	    1356555.263	     0.055	     1.480	     0.075	    -0.046	     0.305	    -0.037	    -2.227	    -0.026	     6.589	     8.032	         0	         0	     0.005	    -0.076	         -2.102	          6.796	          0.207	         -1.236
      1825.59922	     -66.141549	     349.578402	    1356559.647	    1356554.929	     0.051	     1.370	     0.075	    -0.046	     0.304	    -0.040	    -2.227	    -0.045	     6.599	     8.047	         0	         0	     0.005	    -0.071	         -2.120	          6.838	          0.239	         -1.209
      1825.59923	     -66.140681	     349.707930	    1356559.307	    1356554.603	     0.089	     1.390	     0.075	    -0.046	     0.304	    -0.037	    -2.227	    -0.033	     6.620	     8.073	         0	         0	     0.005	    -0.074	         -2.108	          6.812	          0.192	         -1.261
      1825.59924	     -66.139697	     349.837448	    1356558.939	    1356554.187	     0.083	     1.510	     0.075	    -0.046	     0.304	    -0.040	    -2.227	    -0.020	     6.649	     8.104	         0	         0	     0.005	    -0.077	         -2.101	          6.853	          0.204	         -1.251
      1825.59926	     -66.138597	     349.966955	    1356558.541	    1356553.747	     0.083	     1.330	     0.075	    -0.046	     0.304	    -0.039	    -2.227	    -0.033	     6.681	     8.134	         0	         0	     0.005	    -0.068	         -2.104	          6.898	          0.217	         -1.236
      1825.59927	     -66.137382	     350.096450	    1356558.114	    1356553.271	     0.079	     1.170	     0.075	    -0.046	     0.304	    -0.039	    -2.227	    -0.038	     6.710	     8.159	         0	         0	     0.005	    -0.063	         -2.104	          6.947	          0.237	         -1.212
      1825.59928	     -66.136052	     350.225932	    1356557.659	    1356552.827	     0.076	     1.390	     0.075	    -0.046	     0.304	    -0.038	    -2.227	    -0.022	     6.731	     8.184	         0	         0	     0.005	    -0.075	         -2.099	          6.931	          0.200	         -1.253
      1825.59929	     -66.134606	     350.355399	    1356557.174	    1356552.304	     0.068	     1.350	     0.075	    -0.046	     0.304	    -0.038	    -2.227	    -0.028	     6.750	     8.210	         0	         0	     0.005	    -0.072	         -2.102	          6.972	          0.222	         -1.238
