 Satellite:           Jason-1
 Date of parsing:     21-May-2015, 19:17:10
 
            jday	           glat	           glon	           hsat	           ralt	    stdalt	       swh	     otide	     etide	      invb	     wtrop	     dtrop	     ionos	      mssh	      geoh	    iflags	    oflags	     ptide	       emb	
               d	            deg	            deg	              m	              m	         m	         m	         m	         m	         m	         m	         m	         m	         m	         m	         -	         -	         m	         m	
==========================================================================================================================================================================================================================================================
      1825.52107	     -66.145792	      17.058958	    1356545.248	    1356531.582	     0.054	     1.890	     0.055	    -0.046	     0.320	    -0.036	    -2.223	    -0.024	    15.598	    16.981	         0	         0	     0.006	    -0.093	
      1825.52108	     -66.145697	      17.188528	    1356545.152	    1356531.527	     0.043	     1.800	     0.054	    -0.046	     0.321	    -0.037	    -2.223	    -0.015	    15.552	    16.938	         0	         0	     0.006	    -0.091	
      1825.52109	     -66.145487	      17.318096	    1356545.027	    1356531.407	     0.046	     1.750	     0.054	    -0.046	     0.321	    -0.038	    -2.223	    -0.031	    15.533	    16.921	         0	         0	     0.006	    -0.090	
      1825.52110	     -66.145161	      17.447661	    1356544.872	    1356531.227	     0.085	     1.600	     0.054	    -0.046	     0.322	    -0.037	    -2.223	    -0.036	    15.539	    16.926	         0	         0	     0.006	    -0.083	
      1825.52111	     -66.144720	      17.577223	    1356544.689	    1356531.054	     0.096	     1.780	     0.054	    -0.046	     0.323	    -0.036	    -2.222	    -0.033	    15.555	    16.940	         0	         0	     0.006	    -0.091	
      1825.52112	     -66.144162	      17.706779	    1356544.476	    1356530.803	     0.076	     1.730	     0.054	    -0.046	     0.324	    -0.037	    -2.222	    -0.042	    15.574	    16.962	         0	         0	     0.006	    -0.089	
      1825.52114	     -66.143490	      17.836328	    1356544.234	    1356530.517	     0.051	     1.630	     0.054	    -0.046	     0.325	    -0.037	    -2.222	    -0.037	    15.605	    16.998	         0	         0	     0.006	    -0.084	
      1825.52115	     -66.142701	      17.965870	    1356543.964	    1356530.242	     0.079	     1.810	     0.054	    -0.046	     0.325	    -0.037	    -2.222	    -0.032	    15.642	    17.039	         0	         0	     0.006	    -0.092	
      1825.52116	     -66.141797	      18.095403	    1356543.664	    1356529.938	     0.059	     1.900	     0.054	    -0.046	     0.326	    -0.036	    -2.222	    -0.017	    15.688	    17.082	         0	         0	     0.006	    -0.095	
      1825.52117	     -66.140777	      18.224926	    1356543.335	    1356529.512	     0.067	     1.850	     0.054	    -0.046	     0.327	    -0.036	    -2.221	    -0.022	    15.745	    17.137	         0	         0	     0.006	    -0.094	
      1825.52118	     -66.139642	      18.354437	    1356542.977	    1356529.063	     0.079	     1.610	     0.054	    -0.046	     0.328	    -0.036	    -2.221	    -0.033	    15.807	    17.204	         0	         0	     0.006	    -0.082	
      1825.52120	     -66.138391	      18.483936	    1356542.590	    1356528.615	     0.063	     1.860	     0.054	    -0.046	     0.328	    -0.036	    -2.221	    -0.048	    15.871	    17.269	         0	         0	     0.006	    -0.094	
      1825.52121	     -66.137025	      18.613421	    1356542.173	    1356528.167	     0.091	     1.960	     0.054	    -0.046	     0.329	    -0.036	    -2.221	    -0.030	    15.940	    17.336	         0	         0	     0.006	    -0.098	
      1825.52122	     -66.135543	      18.742891	    1356541.728	    1356527.625	     0.047	     1.910	     0.054	    -0.046	     0.330	    -0.035	    -2.221	    -0.018	    16.013	    17.414	         0	         0	     0.006	    -0.096	
      1825.52123	     -66.133946	      18.872345	    1356541.253	    1356527.051	     0.050	     1.600	     0.054	    -0.046	     0.330	    -0.035	    -2.221	    -0.022	    16.082	    17.493	         0	         0	     0.006	    -0.083	
      1825.52124	     -66.132233	      19.001782	    1356540.750	    1356526.494	     0.059	     1.810	     0.054	    -0.046	     0.331	    -0.034	    -2.220	    -0.035	    16.149	    17.559	         0	         0	     0.006	    -0.092	
      1825.52125	     -66.130404	      19.131199	    1356540.217	    1356525.836	     0.071	     1.570	     0.054	    -0.046	     0.332	    -0.035	    -2.220	    -0.039	    16.207	    17.620	         0	         0	     0.006	    -0.075	
      1825.52127	     -66.128460	      19.260597	    1356539.655	    1356525.234	     0.060	     1.660	     0.054	    -0.046	     0.332	    -0.035	    -2.220	    -0.048	    16.258	    17.677	         0	         0	     0.006	    -0.076	
      1825.52128	     -66.126401	      19.389974	    1356539.065	    1356524.563	     0.056	     1.450	     0.054	    -0.046	     0.333	    -0.036	    -2.220	    -0.076	    16.304	    17.724	         0	         0	     0.006	    -0.059	
      1825.52129	     -66.124227	      19.519329	    1356538.445	    1356523.954	     0.099	     1.440	     0.054	    -0.046	     0.334	    -0.035	    -2.220	    -0.143	    16.341	    17.761	         2	         0	     0.006	    -0.055	
      1825.52130	     -66.121937	      19.648660	    1356537.796	    1299999.999	    -0.001	   327.670	     0.054	    -0.046	     0.334	    -0.036	    -2.220	    32.767	    16.369	    17.793	       202	         0	     0.006	    32.767	
      1825.52131	     -66.119531	      19.777966	    1356537.118	    1356522.676	     0.115	     1.610	     0.054	    -0.046	     0.335	    -0.035	    -2.220	    -0.112	    16.389	    17.812	        74	         0	     0.006	    -0.061	
      1825.52133	     -66.117011	      19.907247	    1356536.410	    1356521.712	     0.256	     1.010	     0.055	    -0.046	     0.335	    -0.037	    -2.219	    -0.052	    16.403	    17.822	         0	         0	     0.006	    -0.039	
      1825.52134	     -66.114375	      20.036501	    1356535.674	    1299999.999	    -0.001	     1.080	     0.055	    -0.046	     0.336	    -0.036	    -2.219	    32.767	    16.407	    17.830	       200	         0	     0.006	    -0.042	
