 Satellite:           jason
 Date of parsing:     04-May-2015, 22:36:22

            jday	            glat	            glon	        hsat	        ralt	    stdalt	       swh	     otide	     etide	      invb	     wtrop	     dtrop	     ionos	      mssh	      geoh	    iflags	    oflags	     ptide	       emb
             -  	           [deg]	           [deg]	        [m] 	        [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	      [m] 	        - 	         - 	       [m] 	       [m] 
================================================================================================================================================================================================================================================================== 
      1832.50894	       66.141376	      180.995921	 1353714.787	 1299999.999	    -0.001	     0.000	    -0.256	    -0.069	    -0.208	    -0.015	    -2.344	    32.767	     4.454	     4.091	       202	        14	     0.005	    -0.003
      1832.50895	       66.140440	      181.125543	 1353714.725	 1299999.999	    -0.001	   327.670	    -0.256	    -0.069	    -0.209	    -0.017	    -2.344	    32.767	     4.417	     4.018	       200	        14	     0.005	    32.767
      1832.50896	       66.139387	      181.255155	 1353714.636	 1299999.999	    -0.001	   327.670	    -0.255	    -0.069	    -0.209	    -0.015	    -2.344	    32.767	     4.392	     3.964	       200	        14	     0.005	    32.767
      1832.50899	       66.137143	      181.494103	 1353714.403	 1299999.999	    -0.001	   327.670	    -0.252	    -0.069	    -0.157	    -0.013	    -2.332	    32.767	     4.409	     3.906	       200	        30	     0.003	    32.767
      1832.50901	       66.133740	      181.796422	 1353713.979	 1299999.999	    -0.001	   327.670	    32.767	    -0.069	    -0.071	    -0.009	    -2.312	    32.767	     4.475	     3.846	       200	        30	     0.003	    32.767
      1832.50903	       66.130771	      182.023286	 1353713.565	 1299999.999	    -0.001	   327.670	    32.767	    -0.069	     0.045	    -0.016	    -2.286	    32.767	     4.558	     3.862	       200	        30	     0.003	    32.767
      1832.50905	       66.128917	      182.152792	 1353713.292	 1299999.999	    -0.001	   327.670	    32.767	    -0.069	     0.111	    -0.011	    -2.271	    32.767	     4.590	     3.916	       200	        30	     0.003	    32.767
      1832.50907	       66.124700	      182.421543	 1353712.642	 1299999.999	    -0.001	   327.670	    32.767	    -0.069	     0.156	    -0.005	    -2.260	    32.767	     4.609	     4.086	       200	        30	     0.003	    32.767
      1832.50908	       66.122490	      182.550983	 1353712.287	 1299999.999	    -0.001	   327.670	    32.767	    -0.068	     0.260	    -0.009	    -2.236	    32.767	     4.590	     4.156	       200	        30	     0.003	    32.767
      1832.50926	       66.074760	      184.513172	 1353703.644	 1299999.999	    -0.001	   327.670	    32.767	    -0.067	     0.086	     0.000	    -2.276	    32.767	     3.925	     3.621	       200	        30	     0.003	    32.767
      1832.50927	       66.070686	      184.642078	 1353702.860	 1299999.999	    -0.001	   327.670	    32.767	    -0.067	     0.066	     0.000	    -2.281	    32.767	     3.909	     3.591	       200	        30	     0.003	    32.767
      1832.50928	       66.066497	      184.770941	 1353702.050	 1299999.999	    -0.001	   327.670	    32.767	    -0.067	     0.047	     0.000	    -2.285	    32.767	     3.895	     3.562	       200	        30	     0.003	    32.767
      1832.50930	       66.062194	      184.899760	 1353701.213	 1299999.999	    -0.001	   327.670	    32.767	    -0.067	     0.076	     0.000	    -2.278	    32.767	     3.879	     3.541	       200	        30	     0.003	    32.767
      1832.50931	       66.055096	      185.105038	 1353699.824	 1299999.999	    -0.001	   327.670	    32.767	    -0.067	     0.006	     0.000	    -2.295	    32.767	     3.851	     3.525	       200	        30	     0.003	    32.767
